,bin,region,samp,syst,up,val
0,ggf 1,pass,ggF,JES,1,-0.002820727077927465
0,ggf 1,pass,ggF,JES,0,0.03062275022216876
0,ggf 1,pass,ggF,JER,1,-0.003312338071228438
0,ggf 1,pass,ggF,JER,0,0.006039162106834306
0,ggf 1,fail,ZJetsqq,JES,1,0.031847393473992014
0,ggf 1,fail,ZJetsqq,JES,0,-0.03784652976747005
0,ggf 1,fail,ZJetsqq,JER,1,-0.0029715586616138046
0,ggf 1,fail,ZJetsqq,JER,0,-0.0008153482321214822
0,ggf 1,fail,ZJetsbb,JES,1,0.037324076667297534
0,ggf 1,fail,ZJetsbb,JES,0,-0.033872061522828845
0,ggf 1,fail,ZJetsbb,JER,1,-0.00018769753875280681
0,ggf 1,fail,ZJetsbb,JER,0,-0.0004024962064187454
0,ggf 1,fail,TTbar,JES,1,0.036210185750200186
0,ggf 1,fail,TTbar,JES,0,-0.03544663433496942
0,ggf 1,fail,TTbar,JER,1,0.0011756288630491163
0,ggf 1,fail,TTbar,JER,0,-0.0009952447184861102
0,ggf 1,fail,W,JES,1,0.0366391264062913
0,ggf 1,fail,W,JES,0,-0.03741334430320031
0,ggf 1,fail,W,JER,1,-0.0018362799003691643
0,ggf 1,fail,W,JER,0,-0.00039048928283402784
0,ggf 1,fail,VV,JES,1,0.03692058385035213
0,ggf 1,fail,VV,JES,0,-0.036685211961112185
0,ggf 1,fail,VV,JER,1,0.0007535327672938408
0,ggf 1,fail,VV,JER,0,-0.0016922874422626855
0,ggf 1,fail,VBF,JES,1,0.04454262398868791
0,ggf 1,fail,VBF,JES,0,-0.02419112904568943
0,ggf 1,fail,VBF,JER,1,0.0017078485539772092
0,ggf 1,fail,VBF,JER,0,0.0045993630479235215
0,ggf 1,fail,ZH,JES,1,0.031093456671986486
0,ggf 1,fail,ZH,JES,0,-0.03299621529960617
0,ggf 1,fail,ZH,JER,1,-0.0010457365058416102
0,ggf 1,fail,ZH,JER,0,0.002057411554830857
0,ggf 1,fail,WH,JES,1,0.029639330132443353
0,ggf 1,fail,WH,JES,0,-0.03355911072899642
0,ggf 1,fail,WH,JER,1,-0.001028994885997836
0,ggf 1,fail,WH,JER,0,0.0007126818577773975
0,ggf 1,fail,ttH,JES,1,0.02466151911708958
0,ggf 1,fail,ttH,JES,0,-0.02212023451923184
0,ggf 1,fail,ttH,JER,1,-0.0001405753288459266
0,ggf 1,fail,ttH,JER,0,0.00016491506201310457
0,ggf 1,fail,ggF,JES,1,0.027012958076895854
0,ggf 1,fail,ggF,JES,0,-0.024886710382051258
0,ggf 1,fail,ggF,JER,1,-0.007573100930959087
0,ggf 1,fail,ggF,JER,0,0.00438090832817295
0,ggf 2,pass,ZJetsqq,JES,1,0.023454816204447226
0,ggf 2,pass,ZJetsqq,JES,0,-0.007001676598588524
0,ggf 2,pass,ZJetsqq,JER,1,0.0004848155756478345
0,ggf 2,pass,ZJetsqq,JER,0,0.0027527284613624303
0,ggf 2,pass,ZJetsbb,JES,1,0.03891816766520462
0,ggf 2,pass,ZJetsbb,JES,0,-0.04100207778761
0,ggf 2,pass,ZJetsbb,JER,1,-0.0026531826790646695
0,ggf 2,pass,ZJetsbb,JER,0,0.003726757477487963
0,ggf 2,pass,TTbar,JES,1,0.032663856517774814
0,ggf 2,pass,TTbar,JES,0,-0.03292599738753832
0,ggf 2,pass,TTbar,JER,1,0.0029014853638729132
0,ggf 2,pass,TTbar,JER,0,-0.005739428348261355
0,ggf 2,pass,W,JES,1,-0.02649490911241348
0,ggf 2,pass,W,JES,0,-0.06058037771992064
0,ggf 2,pass,W,JER,1,-0.04110906888735144
0,ggf 2,pass,W,JER,0,-0.031365083954910444
0,ggf 2,pass,VV,JES,1,0.01973837332301409
0,ggf 2,pass,VV,JES,0,-0.014541380776078472
0,ggf 2,pass,VV,JER,1,-0.001348219809649276
0,ggf 2,pass,VV,JER,0,0.010177944880271239
0,ggf 2,pass,VBF,JES,1,-0.005263506060023682
0,ggf 2,pass,VBF,JES,0,-0.005550594597453995
0,ggf 2,pass,VBF,JER,1,0.0013521315130091693
0,ggf 2,pass,VBF,JER,0,0.010198339576599658
0,ggf 2,pass,ZH,JES,1,0.02519475148540784
0,ggf 2,pass,ZH,JES,0,-0.02958414650958141
0,ggf 2,pass,ZH,JER,1,-0.007382967972350052
0,ggf 2,pass,ZH,JER,0,0.007541080109596976
0,ggf 2,pass,WH,JES,1,0.028551845684296806
0,ggf 2,pass,WH,JES,0,-0.0017819810416268567
0,ggf 2,pass,WH,JER,1,-0.010540184927461338
0,ggf 2,pass,WH,JER,0,0.008265526129240808
0,ggf 2,pass,ttH,JES,1,0.016832017523248588
0,ggf 2,pass,ttH,JES,0,0.00019612706477634134
0,ggf 2,pass,ttH,JER,1,0.0031941065432254945
0,ggf 2,pass,ttH,JER,0,-0.000703665790901975
0,ggf 2,pass,ggF,JES,1,-0.0013907688545368169
0,ggf 2,pass,ggF,JES,0,-0.03316032809702174
0,ggf 2,pass,ggF,JER,1,0.0003779340423784028
0,ggf 2,pass,ggF,JER,0,0.0005824884542058317
0,ggf 2,fail,ZJetsqq,JES,1,0.043316357966869834
0,ggf 2,fail,ZJetsqq,JES,0,-0.038347028619031276
0,ggf 2,fail,ZJetsqq,JER,1,-7.818884008181648e-05
0,ggf 2,fail,ZJetsqq,JER,0,5.5237312093892044e-05
0,ggf 2,fail,ZJetsbb,JES,1,0.03934015266965862
0,ggf 2,fail,ZJetsbb,JES,0,-0.04176466801758705
0,ggf 2,fail,ZJetsbb,JER,1,-0.00011379015418366834
0,ggf 2,fail,ZJetsbb,JER,0,-0.0006986337370927798
0,ggf 2,fail,TTbar,JES,1,0.037334596024525935
0,ggf 2,fail,TTbar,JES,0,-0.035180380484058804
0,ggf 2,fail,TTbar,JER,1,0.0004311968738623939
0,ggf 2,fail,TTbar,JER,0,-5.6612000822409136e-05
0,ggf 2,fail,W,JES,1,0.04509666902398135
0,ggf 2,fail,W,JES,0,-0.03430022478565331
0,ggf 2,fail,W,JER,1,0.0038218660429163442
0,ggf 2,fail,W,JER,0,0.0018438883093394587
0,ggf 2,fail,VV,JES,1,0.03983590151777716
0,ggf 2,fail,VV,JES,0,-0.0386154580813195
0,ggf 2,fail,VV,JER,1,0.0009242690611341864
0,ggf 2,fail,VV,JER,0,-0.0006188339831827427
0,ggf 2,fail,VBF,JES,1,0.025647185582225784
0,ggf 2,fail,VBF,JES,0,-0.052802732923484696
0,ggf 2,fail,VBF,JER,1,-0.012734366771097072
0,ggf 2,fail,VBF,JER,0,-0.00035942574986203013
0,ggf 2,fail,ZH,JES,1,0.036467870492755905
0,ggf 2,fail,ZH,JES,0,-0.032644550362097124
0,ggf 2,fail,ZH,JER,1,-0.0014835814959744953
0,ggf 2,fail,ZH,JER,0,0.0034667820058778
0,ggf 2,fail,WH,JES,1,0.04638256021507847
0,ggf 2,fail,WH,JES,0,-0.03937395449887171
0,ggf 2,fail,WH,JER,1,-0.0011505005122323109
0,ggf 2,fail,WH,JER,0,0.0030619698974436727
0,ggf 2,fail,ttH,JES,1,0.02708366500860948
0,ggf 2,fail,ttH,JES,0,-0.02705550009907276
0,ggf 2,fail,ttH,JER,1,-0.0018993017782271693
0,ggf 2,fail,ttH,JER,0,0.0023933695892732754
0,ggf 2,fail,ggF,JES,1,0.02789429465127924
0,ggf 2,fail,ggF,JES,0,-0.03657087499340472
0,ggf 2,fail,ggF,JER,1,-0.0011308509177978543
0,ggf 2,fail,ggF,JER,0,0.0015064670762698906
0,ggf 3,pass,ZJetsqq,JES,1,0.05896755234908979
0,ggf 3,pass,ZJetsqq,JES,0,-0.046910608127591735
0,ggf 3,pass,ZJetsqq,JER,1,-0.003225767870550067
0,ggf 3,pass,ZJetsqq,JER,0,0.015680298996133324
0,ggf 3,pass,ZJetsbb,JES,1,0.03876692627568201
0,ggf 3,pass,ZJetsbb,JES,0,-0.028881605871765137
0,ggf 3,pass,ZJetsbb,JER,1,-0.00030853775340144995
0,ggf 3,pass,ZJetsbb,JER,0,0.00026749326322228484
0,ggf 3,pass,TTbar,JES,1,0.039050674742489244
0,ggf 3,pass,TTbar,JES,0,-0.03310141873835304
0,ggf 3,pass,TTbar,JER,1,-0.0025567046086902856
0,ggf 3,pass,TTbar,JER,0,0.009698291722726404
0,ggf 3,pass,W,JES,1,0.027486170261172393
0,ggf 3,pass,W,JES,0,-0.027618312047503424
0,ggf 3,pass,W,JER,1,-0.02455647934765337
0,ggf 3,pass,W,JER,0,0.000842873703274849
0,ggf 3,pass,VV,JES,1,0.017973848805833414
0,ggf 3,pass,VV,JES,0,-0.03739610764710766
0,ggf 3,pass,VV,JER,1,0.0021089592075416164
0,ggf 3,pass,VV,JER,0,-0.005765209316022091
0,ggf 3,pass,VBF,JES,1,0.03770233382334465
0,ggf 3,pass,VBF,JES,0,-0.024943606917443795
0,ggf 3,pass,VBF,JER,1,-0.00853001377315743
0,ggf 3,pass,VBF,JER,0,-0.0010284957238737569
0,ggf 3,pass,ZH,JES,1,0.0036051910238150686
0,ggf 3,pass,ZH,JES,0,-0.029989048786801087
0,ggf 3,pass,ZH,JER,1,-0.0036197209757161675
0,ggf 3,pass,ZH,JER,0,-0.007260680442795708
0,ggf 3,pass,WH,JES,1,-0.0032485130990647093
0,ggf 3,pass,WH,JES,0,-0.030498294239406754
0,ggf 3,pass,WH,JER,1,-0.0014026624611728211
0,ggf 3,pass,WH,JER,0,-0.012200607079432269
0,ggf 3,pass,ttH,JES,1,0.0005977144338840112
0,ggf 3,pass,ttH,JES,0,-0.029566884930974813
0,ggf 3,pass,ttH,JER,1,-0.0043612975547132615
0,ggf 3,pass,ttH,JER,0,0.0010333717689299249
0,ggf 3,pass,ggF,JES,1,0.030421570238531315
0,ggf 3,pass,ggF,JES,0,-0.039404835437455876
0,ggf 3,pass,ggF,JER,1,-0.013579967234796597
0,ggf 3,pass,ggF,JER,0,-0.008488791235876425
0,ggf 3,fail,ZJetsqq,JES,1,0.0374706117269934
0,ggf 3,fail,ZJetsqq,JES,0,-0.034564520388011166
0,ggf 3,fail,ZJetsqq,JER,1,-0.00014032215088466415
0,ggf 3,fail,ZJetsqq,JER,0,0.001061922092298495
0,ggf 3,fail,ZJetsbb,JES,1,0.04178103094758079
0,ggf 3,fail,ZJetsbb,JES,0,-0.03862558916823189
0,ggf 3,fail,ZJetsbb,JER,1,0.0004801546235393417
0,ggf 3,fail,ZJetsbb,JER,0,0.0009105329444876187
