#Data tag : 23v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/ub),recorded(/ub)
362727:8491,11/27/22 06:16:11,4,4,1623720.289801820,1429073.694091952
362728:8491,11/27/22 06:21:34,388,388,152517608.866538107,145363068.446372122
362757:8496,11/27/22 23:14:46,62,62,21624615.549216881,19747923.322812408
362758:8496,11/27/22 23:43:07,205,205,88197808.641554415,83570575.132189706
362760:8496,11/28/22 01:16:05,728,728,299207857.783994555,285734958.151556492
366727:8675,04/28/23 00:14:39,243,243,16745458.155663287,15703006.285254117
366729:8675,04/28/23 02:28:26,414,414,29317126.838165749,27559217.590151694
366801:8685,04/29/23 13:49:49,429,429,26468215.215562295,24599003.674466010
366802:8685,04/29/23 16:38:53,22,22,1225103.599790981,1117457.532218885
366804:8685,04/29/23 16:52:11,150,150,7533315.817047941,7283552.443116003
366820:8686,04/29/23 20:17:19,372,372,24530923.564990863,22246754.064357195
366821:8686,04/29/23 22:43:29,967,967,58465142.083498053,54572186.782856986
366829:8690,04/30/23 10:56:23,215,215,13220737.623990843,11980007.133710219
366832:8690,04/30/23 12:27:18,258,258,20577140.250007197,18430550.593965806
366833:8690,04/30/23 14:14:16,623,623,35278312.196848013,32929826.739418499
366838:8691,04/30/23 20:25:11,112,112,6944315.964193828,6211096.628407766
366840:8691,04/30/23 21:16:27,180,180,14416308.279069563,12150917.784346603
366841:8691,04/30/23 22:30:41,258,258,18724111.386032771,16766244.629333332
366850:8692,05/01/23 03:02:36,141,141,9744233.017346369,8769043.135394514
366933:8701,05/03/23 02:56:24,1170,1170,203610461.705547243,190492117.912855923
367062:8723,05/05/23 13:39:01,13,13,589468.994910221,498854.519168802
367063:8723,05/05/23 13:50:58,15,15,754161.291110580,638262.871816271
367064:8723,05/05/23 13:58:54,327,327,24634009.372574259,22695565.410147239
367065:8723,05/05/23 17:09:08,262,262,18147768.050754324,16403643.937915972
367070:8724,05/05/23 22:59:27,83,83,11471080.171088768,11234915.797978599
367079:8725,05/06/23 05:51:51,713,713,128114087.890957713,120148604.372183576
367095:8728,05/06/23 13:29:02,564,564,116247384.183802292,109571899.375479177
367100:8729,05/06/23 20:09:21,346,346,69363299.564679667,65165683.603299119
367102:8729,05/06/23 22:28:48,75,75,16317724.200726731,15104963.804763723
367103:8729,05/06/23 23:02:02,64,64,13987490.358171543,12809401.775146753
367104:8729,05/06/23 23:31:30,1082,1082,191017247.118355393,183123726.000580043
367111:8730,05/07/23 09:24:23,288,288,55661595.134715050,51563915.378470369
367112:8730,05/07/23 11:19:36,1438,1438,254760342.259374112,243399965.628815860
367127:8731,05/07/23 22:42:33,333,333,99033686.661602780,92207595.841775328
367128:8731,05/08/23 00:54:20,7,7,2404123.621903551,2145256.503190815
367129:8731,05/08/23 01:01:54,3,3,1012357.717523159,968801.226098462
367130:8731,05/08/23 01:05:47,153,153,43005141.089783929,40689393.627055615
367131:8731,05/08/23 02:12:34,149,149,39454687.119503155,37709423.743312731
367133:8731,05/08/23 03:12:46,275,275,82774061.490635753,79425361.573749200
367228:8736,05/08/23 23:46:35,239,239,57966405.009159699,54502903.500901148
367229:8736,05/09/23 01:25:47,34,34,11562575.985384097,10816690.462865613
367230:8736,05/09/23 01:44:57,1,1,336375.933840589,301846.166867070
367231:8736,05/09/23 01:48:31,22,22,7482598.555501970,6859231.008440224
367232:8736,05/09/23 01:59:29,996,996,320955246.041580915,307248610.627153695
367234:8736,05/09/23 08:33:08,501,501,128987131.597483054,124461951.552107111
367260:8738,05/09/23 18:06:48,187,187,52056337.376491182,49446357.939555928
367262:8738,05/09/23 19:32:02,262,262,89322069.917720929,83240053.428268597
367263:8738,05/09/23 21:23:59,12,12,4036481.442022410,3404597.300908662
367264:8738,05/09/23 21:31:14,847,847,228399692.528000683,217752162.628952742
367267:8739,05/10/23 05:37:29,278,278,65904506.845758975,61607448.768001460
367269:8739,05/10/23 07:33:29,33,33,11202893.015518820,9455872.131471206
367270:8739,05/10/23 07:48:56,961,961,286504966.099977076,271633348.355438590
367271:8739,05/10/23 14:08:10,135,135,30306084.041965242,29080691.926720310
367312:8741,05/10/23 21:23:55,216,216,45084379.255603187,42268064.073196448
367314:8741,05/10/23 22:55:00,20,20,6774067.893774620,6200751.581281798
367315:8741,05/10/23 23:11:42,893,893,255496553.040544361,244534845.387456208
367334:8746,05/11/23 11:40:36,299,299,91332934.361762539,83995721.114226282
367336:8746,05/11/23 13:40:58,169,169,65750458.005928747,62578973.964930803
367337:8746,05/11/23 14:49:42,1046,1046,295550535.031871855,284514186.312251031
367355:8750,05/12/23 03:30:34,4,4,946251.839080452,812672.426747096
367406:8754,05/12/23 16:38:10,429,429,159214114.618160814,149694068.130557269
367413:8754,05/12/23 20:13:16,1294,1294,424090478.395991683,400172916.445136249
367415:8754,05/13/23 04:52:02,97,97,22366881.277387284,21650458.879163247
367416:8754,05/13/23 05:40:55,55,55,12157008.411032293,11605929.651164729
367475:8771,05/14/23 12:33:10,579,579,236826454.013760418,216721508.770605654
367477:8771,05/14/23 16:23:22,1289,1289,400407319.930438697,384953958.037708879
367515:8773,05/15/23 07:38:07,625,625,247583494.441155076,229654992.246725678
367516:8773,05/15/23 11:48:44,1236,1236,428066963.237263680,404435587.123103797
367552:8775,05/16/23 00:21:36,11,11,1107383.322193402,872434.431184395
367553:8775,05/16/23 00:27:38,644,644,270268482.397622585,256214661.470113665
367554:8775,05/16/23 04:39:53,312,312,127568297.128789306,120766311.166944653
367615:8782,05/17/23 04:49:11,432,432,169094051.010787606,160235919.185079187
367618:8782,05/17/23 08:11:09,324,324,138966818.110527515,132073296.289109334
367619:8782,05/17/23 10:19:47,577,577,186005032.718013018,179350374.217468500
367661:8784,05/18/23 00:24:43,317,317,115989118.961873904,108171867.415947095
367662:8784,05/18/23 02:29:53,18,18,8051204.514041276,7233731.090471646
367663:8784,05/18/23 02:38:47,1,1,443884.282869686,405941.677405965
367665:8784,05/18/23 02:51:18,271,271,121055421.257756919,112140629.839202091
367666:8784,05/18/23 04:39:54,82,82,36619103.326263629,33486554.111258496
367691:8786,05/18/23 14:45:43,159,159,48764882.405245617,43731612.678477511
367696:8786,05/18/23 16:31:37,1919,1919,665877346.814126372,632110292.978685260
367699:8786,05/19/23 05:14:55,151,151,29747362.786384914,28994224.397762928
367730:8794,05/19/23 19:40:18,515,515,204535271.544117898,190826785.071950078
367742:8796,05/20/23 05:16:41,405,405,160384749.608797193,153015861.235396266
367758:8804,05/21/23 05:47:38,716,716,290079163.938259125,275623197.517887890
367770:8807,05/21/23 16:39:40,152,152,47309190.400551654,44138396.797448337
367771:8807,05/21/23 17:40:13,91,91,43176241.140801072,40465834.296956718
367772:8807,05/21/23 18:17:11,6,6,2783893.093981505,2175325.966189100
367790:8811,05/22/23 04:56:12,160,160,53057659.060899235,49440907.848929644
367831:8816,05/22/23 19:58:40,452,452,193480882.572723895,183267618.770728201
367836:8817,05/23/23 02:06:34,541,541,232868425.170482635,220893889.725524724
367838:8817,05/23/23 05:40:32,793,793,338738355.446669817,322408125.073069811
367840:8817,05/23/23 10:52:14,570,570,171010026.275076091,164787318.025218815
367881:8821,05/24/23 01:38:10,139,139,49790061.044753812,47207783.143020116
367883:8821,05/24/23 02:40:40,1050,1050,494422082.457598627,468207976.894247234
367884:8821,05/24/23 09:31:57,1011,1011,324963126.967837512,313014021.000153065
367902:8822,05/24/23 19:32:35,232,232,91006359.806007206,85709670.021898985
367904:8822,05/24/23 21:07:59,103,103,49435114.212101974,44545043.931153670
367905:8822,05/24/23 21:51:10,48,48,22926500.231457364,21281962.035265163
367906:8822,05/24/23 22:15:19,344,344,164988069.535130531,150785571.187805057
367907:8822,05/25/23 00:31:40,119,119,56820619.530135967,50784695.147134706
367908:8822,05/25/23 01:20:49,358,358,152612412.128828883,142974156.345669448
367910:8822,05/25/23 03:44:16,593,593,196751024.240673989,189983790.534198910
368223:8850,05/30/23 19:28:58,436,436,49219947.089959063,42785896.235413462
368224:8850,05/30/23 22:22:23,57,57,6807788.367770849,6334914.632802011
368229:8853,05/31/23 02:15:18,518,518,95353771.882041544,90797958.850367010
368318:8858,06/01/23 15:07:55,283,283,67243075.829243436,63519966.029975779
368320:8858,06/01/23 16:59:31,285,285,81005482.553363666,77736362.603201553
368321:8858,06/01/23 18:51:29,337,337,82318926.361805141,78759287.662045270
368332:8860,06/02/23 00:20:52,14,14,2427703.257673537,2340771.291317987
368333:8860,06/02/23 00:28:24,25,25,4920809.605964278,4088554.708518800
368343:8860,06/02/23 02:57:27,328,328,100078619.479496151,95712405.653190851
368382:8863,06/02/23 18:02:36,756,756,220554910.873571634,209297224.229290277
368384:8863,06/02/23 23:15:41,44,44,11960658.291980388,11288810.775273697
368388:8865,06/03/23 02:21:46,1429,1429,376745509.206704080,358877738.708756268
368389:8865,06/03/23 11:40:44,198,198,35759134.804897636,34554403.933865041
368400:8866,06/03/23 14:50:32,232,232,68601977.774733171,64607480.316123605
368410:8870,06/04/23 01:48:50,1453,1453,441515904.341471314,419480494.909503818
368412:8870,06/04/23 11:25:10,92,92,18311516.505646843,17600033.661115967
368423:8872,06/04/23 16:14:20,474,474,199472444.596389651,190011978.761751056
368451:8873,06/05/23 01:18:33,144,144,61389381.202944599,56568321.947995998
368453:8873,06/05/23 02:22:37,5,5,2005794.518958468,299523.183652890
368454:8873,06/05/23 02:26:44,1165,1165,342278325.108981848,328520557.536913574
368489:8877,06/05/23 15:06:06,1025,1025,393500146.575703144,375585942.710405171
368546:8880,06/06/23 06:02:46,659,659,295544371.118931651,275630545.329393327
368547:8880,06/06/23 10:21:17,700,700,254727678.114980102,234184269.028040975
368548:8880,06/06/23 15:02:12,1038,1038,245695061.809899122,236924780.764747560
368566:8882,06/07/23 00:37:56,1195,1195,501585312.740966260,473338413.561391652
368567:8882,06/07/23 08:24:22,433,433,130458886.137209371,124723739.933181539
368609:8885,06/08/23 02:28:48,999,999,420514418.309435785,401245935.216824174
368611:8885,06/08/23 09:09:42,381,381,121782774.280233160,117243244.276225105
368613:8885,06/08/23 11:55:55,260,260,68970809.022999629,66658254.405236192
368636:8887,06/08/23 23:31:45,769,769,323468874.209661484,308785232.601614237
368669:8891,06/09/23 15:10:40,369,369,163011097.916463315,154976051.574166715
368670:8891,06/09/23 17:36:20,258,258,120075393.843455866,112940910.333803982
368672:8891,06/09/23 19:40:15,866,866,300424180.371488035,288094604.449238956
368674:8891,06/10/23 02:29:40,12,11,2973213.291916546,2345962.521693876
368675:8891,06/10/23 02:36:10,50,50,12116768.930872686,10873042.899463732
368676:8891,06/10/23 02:58:19,156,156,35945188.820745200,34459004.422364034
368678:8891,06/10/23 04:02:10,171,171,36521685.930369534,35377719.742823109
368684:8894,06/10/23 09:13:07,96,96,26522099.377856389,23691362.574401818
368685:8894,06/10/23 09:53:33,1481,1481,575244702.146886349,551284298.642067075
368723:8895,06/11/23 02:11:38,93,93,33679510.692392543,32063143.012301426
368724:8895,06/11/23 03:02:34,1200,1200,512239389.171862006,486960591.745900095
368746:8896,06/11/23 13:26:58,39,39,8764889.004176941,8078309.759909551
368749:8896,06/11/23 13:52:39,169,169,75589085.288292870,70484644.634523809
368753:8896,06/11/23 15:10:11,976,976,420396177.611435652,400289787.885774136
368822:8901,06/13/23 04:28:21,945,945,404284533.548787832,384567398.899720967
368823:8901,06/13/23 10:38:47,33,33,13190313.539924208,11676866.532851344
369927:9016,07/01/23 14:26:50,340,340,3232428.065372645,3184844.377355246
369943:9017,07/01/23 21:31:57,384,384,29589301.917877402,28931864.108260728
369956:9019,07/02/23 05:24:03,1040,1040,87948774.198740765,85792677.579954877
369978:9022,07/02/23 18:21:51,782,782,170577045.309581608,164211090.906360745
369998:9023,07/03/23 02:31:01,179,179,59041263.897541150,54522992.307976179
369999:9023,07/03/23 03:42:38,41,41,16047742.117476696,14570408.348968195
370093:9029,07/04/23 01:52:21,450,450,157630338.357295632,150552240.273986310
370097:9029,07/04/23 07:14:28,356,356,134912130.277364433,127556893.843759581
370102:9029,07/04/23 09:48:17,762,762,210324068.453975201,202825271.401061207
370129:9031,07/04/23 18:57:20,510,510,211939691.767199129,202816517.463707864
370144:9031,07/04/23 23:36:05,1328,1328,401076446.319561005,386675762.069500089
370169:9035,07/05/23 13:04:40,1330,1330,533180311.473900795,498241186.508465767
370172:9035,07/05/23 23:07:28,300,300,79394653.340735570,74826141.135905862
370175:9036,07/06/23 03:38:22,1693,1693,705914411.557426214,672573167.231301665
370293:9043,07/07/23 13:09:51,1580,1580,675042629.068983674,642732227.384645224
370294:9043,07/07/23 23:26:42,668,668,180485550.586304128,173942472.667488426
370300:9044,07/08/23 06:08:22,962,962,438643686.980162263,417299098.074866533
370304:9044,07/08/23 12:50:38,327,327,124693791.894527227,118736040.464664370
370307:9044,07/08/23 15:04:05,708,708,208199699.321256965,200916146.891894549
370321:9045,07/08/23 21:41:08,14,14,1836053.826265815,1663548.923149571
370332:9045,07/08/23 22:20:38,1966,1966,740674918.112676382,704978281.640850663
370340:9046,07/09/23 12:57:13,756,756,346933134.123018444,328453629.337019682
370354:9049,07/09/23 21:08:47,278,278,116066379.828511953,111495807.725692213
370357:9049,07/10/23 00:29:47,801,801,330895166.134579241,317644586.673487425
370406:9050,07/10/23 14:29:29,825,825,365973524.572714269,348204345.609568954
370436:9050,07/10/23 19:55:30,31,31,11172829.478731818,10365607.050575169
370460:9055,07/11/23 05:20:19,116,116,33826538.528781943,32508535.865003921
370472:9056,07/11/23 09:22:18,42,42,9650326.298513057,9516477.074710133
370497:9057,07/11/23 11:38:34,1429,1429,596117816.444623828,567733138.691773772
370522:9059,07/12/23 01:55:53,322,322,137536073.008791149,131074407.604739666
370560:9062,07/12/23 14:37:34,348,348,150242402.480270386,143756048.802735239
370579:9063,07/12/23 19:39:39,85,85,25173468.093361080,24120066.119219538
370580:9063,07/12/23 20:17:16,2875,2875,946580185.627786398,901266289.491500616
370667:9066,07/14/23 10:10:37,101,101,39604165.339145817,36958406.027003065
370717:9067,07/15/23 03:10:34,119,119,37417688.576404996,35738627.862629607
370725:9068,07/15/23 07:13:53,412,412,180174557.803093165,170298685.234280795
370749:9070,07/15/23 19:21:13,1490,1490,647849973.143715262,616526040.935884953
370753:9070,07/16/23 05:18:43,249,249,75995505.707486674,73291982.530465677
370772:9072,07/16/23 09:59:39,1219,1219,560913085.614638209,533051582.323292792
370774:9072,07/16/23 18:07:34,159,159,59895966.090519473,55098644.271206833
370775:9072,07/16/23 19:11:41,168,168,57535463.589778200,53346902.424834333
370776:9072,07/16/23 20:19:32,326,326,97974198.910209402,94236995.295583829
370790:9073,07/17/23 00:51:10,23,23,3393495.188702821,2963380.476879424
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/ub),totrecorded(/ub)
#217,547,211646,211640,65599781518.749809265,62390044434.489707947
#
#Warning: problems found in merging -i and --normtag selections:
#  runs [368762, 368764, 368765] are not covered by normtag
#  in run 359571 [[1, 16], [18, 186]] is not a superset of [[1, 4], [7, 28], [30, 39], [41, 50], [52, 61], [63, 72], [74, 83], [85, 94], [96, 105], [107, 116], [118, 127], [129, 138], [140, 149], [151, 160], [162, 169]]
#  in run 359661 [[40, 122]] is not a superset of [[42, 233]]
#  in run 368489 [[46, 863], [865, 1079]] is not a superset of [[47, 791], [793, 827], [829, 863], [865, 899], [901, 935], [937, 971], [973, 1007], [1009, 1043], [1045, 1079], [1081, 1280], [1282, 1380], [1382, 1581], [1583, 1595]]
#Check JSON:
#(run,ls) in json but not in results: []
