#Data tag : 23v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/ub),recorded(/ub)
356371:8062,07/28/22 18:46:34,16,16,1866506.384110405,1571297.533842241
356375:8063,07/28/22 21:04:41,68,68,8922719.175966406,6616938.903570474
356378:8063,07/28/22 22:10:25,295,295,43751528.156041108,42078694.958121076
356381:8063,07/29/22 00:10:47,1193,1193,134947843.722529322,132921840.968350574
356383:8063,07/29/22 08:04:41,33,33,2942838.411869803,2902014.962305802
356385:8063,07/29/22 08:26:25,30,30,2681810.537620347,2497278.484679306
356386:8063,07/29/22 08:41:02,122,122,8927381.421213981,8806190.697089989
356426:8067,07/29/22 15:50:08,22,22,3151933.335696699,2600013.110718525
356428:8067,07/29/22 16:11:32,300,300,48319867.528070182,46361151.226326570
356433:8067,07/29/22 19:20:28,310,310,50251803.204510912,48380656.843108892
356434:8067,07/29/22 21:22:54,13,13,1973337.826355978,1737054.153817975
356435:8067,07/29/22 21:31:01,4,4,603134.314295135,443803.745044926
356446:8068,07/30/22 00:05:30,614,614,97015719.346048355,93899214.351754606
356523:8076,07/31/22 20:51:42,866,866,165987995.741653979,162859103.002712637
356531:8076,08/01/22 04:10:15,56,56,9227739.568239516,9079145.451884910
356563:8078,08/01/22 16:49:18,294,294,53563645.403820224,52486547.789920740
356568:8079,08/01/22 20:52:46,23,23,3758728.688614562,3237103.231996925
356569:8079,08/01/22 21:05:00,251,250,47628818.062440179,45846006.939789824
356570:8079,08/01/22 22:47:20,98,98,19748005.872108340,19321098.206697881
356576:8081,08/02/22 07:11:08,183,183,27497349.875129532,26322334.329337258
356578:8081,08/02/22 08:39:29,865,865,159259882.185191244,156372943.410379350
356580:8081,08/02/22 14:21:24,51,50,8131908.706370178,7829332.190850694
356582:8081,08/02/22 15:25:57,98,98,14574286.290241899,14436924.824386146
356614:8083,08/02/22 20:26:15,50,50,9384377.096970089,7981524.829673070
356615:8083,08/02/22 20:53:13,1297,1297,238423327.530151606,233769799.884333998
356619:8083,08/03/22 05:31:02,173,173,24550952.294516545,24281332.165771574
356810:8094,08/05/22 04:20:11,120,120,26425430.981006712,25773036.987742860
356811:8094,08/05/22 05:13:06,44,44,13531696.808060762,13031225.800361114
356812:8094,08/05/22 05:35:55,107,107,31374691.474226475,30377239.011775907
356813:8094,08/05/22 06:22:46,54,54,15201195.556496410,14715256.507015733
356814:8094,08/05/22 06:48:52,669,669,161069910.751634628,157982717.893838108
356815:8094,08/05/22 11:13:01,98,98,19778677.111393139,19361668.710103557
356824:8094,08/05/22 12:39:04,66,66,10543766.640182763,9593918.866553584
356908:8098,08/06/22 03:30:07,26,26,7734857.613582471,7217396.133311783
356919:8099,08/06/22 05:56:45,88,88,22238484.487044852,21425778.702937845
356937:8100,08/06/22 16:02:16,119,119,29994345.457571898,28652881.254588917
356946:8102,08/06/22 21:52:44,129,129,39125688.850787573,34913946.893826358
356947:8102,08/06/22 22:46:12,350,350,95956279.885816842,91705122.477702677
356948:8102,08/07/22 01:03:58,88,88,21822162.812907919,20188675.444078635
356949:8102,08/07/22 01:40:25,94,94,22283847.603647377,21643326.319331761
356951:8102,08/07/22 02:29:25,274,274,60714882.758922249,59447981.883497044
356954:8102,08/07/22 04:28:59,364,364,71084076.196736544,68791655.069383234
356955:8102,08/07/22 06:51:58,380,380,65344866.675403230,64082158.690253094
356956:8102,08/07/22 09:20:44,109,109,15272209.011339182,15146349.867359797
356968:8103,08/07/22 13:00:07,172,172,49662908.387052633,47732556.902984343
356969:8103,08/07/22 14:14:36,236,236,70540866.973692819,67040494.165774554
356970:8103,08/07/22 15:48:42,366,366,98553040.201644152,96038921.399063006
356998:8106,08/08/22 08:36:19,5,5,1679618.460491283,1583753.279918208
356999:8106,08/08/22 08:44:07,58,58,18930298.567134518,16969157.446976636
357000:8106,08/08/22 09:08:08,50,50,12137181.512192857,11047378.790989222
357001:8106,08/08/22 09:29:31,183,183,53213167.348763295,51476199.017511845
357079:8112,08/09/22 06:42:08,22,22,8552572.145124370,7500344.688443882
357080:8112,08/09/22 06:52:58,616,616,200751193.000406981,193771885.071902156
357081:8112,08/09/22 11:12:46,759,759,182398976.255722821,178679889.170558929
357101:8113,08/09/22 20:11:07,50,50,18217906.493754990,17358495.111816257
357102:8113,08/09/22 20:48:55,105,105,36742561.127579674,35115311.782504544
357104:8113,08/09/22 21:59:35,4,4,1325720.585656025,1266275.210440597
357106:8113,08/09/22 22:26:05,60,60,19031432.371965453,17227783.581050023
357112:8113,08/09/22 23:05:03,519,519,142227164.255287498,135803330.788333476
357268:8115,08/10/22 21:34:00,74,74,23577880.664519247,21293597.851102225
357271:8115,08/10/22 22:10:57,1569,1569,453117762.641158164,421966971.183915257
357328:8118,08/11/22 21:45:57,62,62,18922848.032913655,16586605.194372661
357329:8118,08/11/22 22:13:21,668,668,234728972.652054012,219769002.703842402
357330:8118,08/12/22 02:34:27,157,157,46876227.631303117,42967711.822625414
357331:8118,08/12/22 03:38:29,23,23,6567877.873155669,5629200.180725926
357332:8118,08/12/22 03:50:29,430,430,111664267.508206710,99092139.782008722
357333:8118,08/12/22 06:41:18,207,207,45384446.409176432,43544170.135605522
357401:8120,08/12/22 20:57:25,617,617,174018007.730691880,169337708.827384204
357406:8121,08/13/22 04:47:20,125,125,35632484.584197044,33717056.395536453
357438:8124,08/13/22 16:37:25,196,196,67512948.493277371,62501105.483442172
